bids_subject	connectivity_acute_left-IFGorb2left-PTL	connectivity_acute_left-PTL2left-IFGorb	connectivity_acute_right-IFGorb2left-IFGOrb	connectivity_acute_left-SMA2left-IFGorb	connectivity_acute_left-SMA2left-PTL	connectivity_acute_left-DLPFC2left-IFGorb	connectivity_acute_left-DLPFC2left-PTL	connectivity_acute_right-DLPFC2left-PTL	connectivity_acute_right-DLPFC2left-IFGorb	connectivity_subacute_left-IFGorb2left-PTL	connectivity_subacute_left-PTL2left-IFGorb	connectivity_subacute_right-IFGorb2left-IFGOrb	connectivity_subacute_left-SMA2left-IFGorb	connectivity_subacute_left-SMA2left-PTL	connectivity_subacute_left-DLPFC2left-IFGorb	connectivity_subacute_left-DLPFC2left-PTL	connectivity_subacute_right-DLPFC2left-PTL	connectivity_subacute_right-DLPFC2left-IFGorb	connectivity_early-chronic_left-IFGorb2left-PTL	connectivity_early-chronic_left-PTL2left-IFGorb	connectivity_early-chronic_right-IFGorb2left-IFGOrb	connectivity_early-chronic_left-SMA2left-IFGorb	connectivity_early-chronic_left-SMA2left-PTL	connectivity_early-chronic_left-DLPFC2left-IFGorb	connectivity_early-chronic_left-DLPFC2left-PTL	connectivity_early-chronic_right-DLPFC2left-PTL	connectivity_early-chronic_right-DLPFC2left-IFGorb	
sub-01	-0.00507054553193828	0.0503877903745966	-0.0310159291769613	-0.00171218768163822	-0.00168879058110776	0.0553848405270236	0.00339420812423284	0.00819326747339347	0.00708253076100161	0.00507166476743922	-0.00647469700408842	-0.00284923281981966	-0.000726956824357757	-0.00205514070121424	-0.000525434016730488	-0.003505653129137	-0.00224375634217822	0.00279866835844576	-0.00896207767979128	-0.00738644373822207	0.0108950891541005	-0.0292849250886968	-0.0133656862134444	-0.088484723231354	-0.0116942331589645	-0.0220776743613552	-0.0418683292616393	
sub-02	2.77476456344994e-05	-2.06109294864243e-05	-5.46218003023607e-05	4.93564148127182e-05	5.59423154376495e-05	3.6410659843144e-05	4.54719392296166e-05	-2.98303210328147e-05	-3.09842964097618e-05	0.153137281998699	-0.303425864033347	-0.0829674762995132	0.0686433887839547	0.0539787453531192	0.0174448003257349	0.0298903761801914	0.0177662216232294	0.0727742439051576	-1.51994342206324e-05	4.45826334805696e-05	2.76046579515486e-05	8.7240113235884e-06	1.01205310194069e-06	-7.20976739971625e-06	-2.92816974618573e-06	-3.84540546688609e-06	1.64270942611713e-05	
sub-03	0.000914719231776674	0.000311363110485664	-0.000444628164397374	0.00132147801324497	0.00195810419891391	0.00288179660387149	0.00677947298354342	0.00265679360438827	0.000402834603734595	0.00537443509316808	0.00217773515767829	-0.00838473744322562	0.00379011145639913	0.000514151105141912	0.00634670558389789	0.0052255043465152	-0.00263970690655034	-0.0051090337427141	0	0	0	0	0	0	0	0	0	
sub-04	0.0007248526271391	-0.00676417146073899	-0.00347688000834407	-0.00039593133080027	-5.29680379256989e-05	-5.75422924832309e-05	-0.000107088267790646	-0.000483371198981647	0.000305846901913798	0.0668104391811175	0.111923984970114	-0.00556810689616177	-0.0863920990969298	-0.0323565002742495	-0.0306016802743247	-0.103042670284982	-0.152561288390862	-0.0165208572255819	0.000412221187441813	-0.000514882019136388	0.000131586784077199	0.000203690684832738	-0.000638978103331025	-0.000317754022467679	0.00100305314722852	0.000240765239815194	-2.60784490505745e-05	
sub-05	0.00387828201455417	-0.492855392585481	-0.365426191573804	0.0205874661561144	-0.0358803701315209	-0.403577596943038	0.261434192501539	0.188092646825326	-0.420982146981132	8.79729837463658e-05	-0.000581359517775031	-1.29196218797403e-05	-0.000395759903543346	-0.000517185534474801	-0.000519662782657434	-0.000411733764128275	-0.000186959619129332	1.09432947338967e-05	-0.00247142573033418	-0.00128678643186322	-0.000579924349781114	2.06242423233809e-05	-0.000171898066887477	-0.00214301529775456	0.00219112381589827	0.000298404979366781	0.000805247343588609	
sub-06	0	0	0	0	0	0	0	0	0	-0.0718124474673637	-0.239232434767117	0.0817910304226557	-0.0049801196554856	-0.0906549189668869	-0.488756174811266	-0.0440465299231326	-0.0148517457367402	-0.43872887450274	6.07550524274577e-05	0.000735969161004131	0.000616108141687942	0.000201431136191814	-2.04722652183041e-05	8.06593768667504e-05	-4.63187730323098e-05	0.000251240378667588	0.000680361716191238	
sub-07	-0.263194132665381	0.0781276459959996	-1.1750854379851	0.191014859313619	-0.224827797174274	-0.104021257993406	-0.0762923101883783	0.0676834068357575	0.00913484501658845	-0.150283952557021	0.199663568215963	0.0190995228442928	0.0446670221275065	-0.140134970056899	0.181037122928609	0.0930826707105418	-0.0671093503403209	0.147092266538618	0.0142451454127681	-0.0767200071111652	-0.176004538642213	0.099720460390936	-0.0240769031161446	-0.0789997382199225	-0.0520689654109365	0.0215108381556981	0.11992509201412	
sub-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00021012110423362	0.00010629646839508	0.000732321237720835	-0.000931741831466664	-0.000158399503466881	-0.000521018159883402	0.000159696577239585	-0.000130773316183424	-0.000587954832787088	
sub-09	-0.00342094465485211	0.00342798941057025	0.00243561030905523	0.000745813250424358	0.000242721896850019	0.000993169157939738	-0.000108283144300331	-0.000638356445243409	0.000297636797860745	0.000215498840847953	-0.000290089947723682	-0.000118621665658661	0.000173747692997643	0.000144277729327918	6.82410987496812e-05	3.11980114365976e-05	-0.000116339010600241	-7.05589127438494e-05	0.0295209032725868	-0.00291677265101345	-0.0213820491615633	-0.0540197703652419	-0.0974725032554612	-0.0373944417143694	-0.163401394037287	-0.152902019262305	-0.154987484706264	
sub-10	0.266455770474501	-0.323952212827495	-0.0251268299597771	0.0361344596045562	0.1691603587593	0.08731023235463	0.0965599675831108	0.0875303960719034	-0.0307412723005227	0.0286968604657636	-0.0807728963423633	0.0856490390769448	-0.00519712384111281	0.0222224243491245	0.0251125544609859	-0.00167086153805986	0.0142112783476512	0.00958474269227525	0.00226588790314747	-0.00106124645745259	-0.00108470654166588	0.00162821676789696	-0.00124996781523078	0.00121817391378976	-0.000765517830762258	0.000375069990256154	0.000581478973372862	
